batch,heads,n,d,causal,implementation,median_us,min_us,max_us,useful_tflops,max_abs,rmse
1,1,192,64,True,cute_s3,5.140479803085327,5.120000243186951,5.222399830818176,0.9227091986925307,0.0007236003875732422,5.7093424402410164e-05
1,1,192,64,True,official_fa2,12.120959758758545,12.083200216293335,15.994880199432373,0.39131950723395564,0.0007236003875732422,5.744277950725518e-05
1,1,256,64,False,cute_s2,5.908480286598206,5.894399881362915,6.164479851722717,2.8395145936349473,0.00015625357627868652,2.738753209996503e-05
1,1,256,64,False,cute_s3,6.080639958381653,6.038399934768677,6.2566399574279785,2.7591201115063577,0.00015625357627868652,2.738753209996503e-05
1,1,256,64,False,official_fa2,10.463680028915405,10.45375943183899,10.854400396347046,1.6033762456074465,0.00016057491302490234,2.7675485398503952e-05
1,1,256,64,True,cute_s2,6.1849600076675415,6.174079775810242,6.38975977897644,1.3615894022855373,0.0006498098373413086,5.100559792481363e-05
1,1,256,64,True,cute_s3,6.34880006313324,6.29472017288208,40.50943851470947,1.3264515997128297,0.0006498098373413086,5.100559792481363e-05
1,1,256,64,True,official_fa2,10.516480207443237,10.485759973526001,11.192320585250854,0.800778952071779,0.0006498098373413086,5.109223275212571e-05
1,1,512,64,False,cute_s2,10.535680055618286,10.48192024230957,10.741759538650513,6.36967558294572,0.0001309812068939209,2.0073095583938994e-05
1,1,512,64,False,cute_s3,10.659840106964111,10.62559962272644,10.7315194606781,6.295485047299869,0.0001309812068939209,2.0073095583938994e-05
1,1,512,64,False,official_fa2,18.862080574035645,18.851840496063232,54.22080039978027,3.5578717701152147,0.00013655424118041992,2.0117835447308607e-05
1,1,512,64,True,cute_s2,11.02560043334961,11.007360219955444,11.06943964958191,3.0492641378793515,0.0005108118057250977,4.074041135027073e-05
1,1,512,64,True,cute_s3,11.242560148239136,11.19968056678772,11.753599643707275,2.990419224509617,0.0005108118057250977,4.074041135027073e-05
1,1,512,64,True,official_fa2,18.45247983932495,18.390400409698486,54.26176071166992,1.8219755985507649,0.0005108118057250977,4.077446646988392e-05
1,1,1024,64,False,cute_s2,19.803839921951294,19.742720127105713,20.285439491271973,13.554717522355672,0.00010231137275695801,1.456813515687827e-05
1,1,1024,64,False,cute_s3,19.94752049446106,19.874240159988403,20.108160972595215,13.457083855336204,0.00010231137275695801,1.456813515687827e-05
1,1,1024,64,False,official_fa2,35.635199546813965,35.583999156951904,70.95295906066895,7.532873659016735,0.00010231137275695801,1.4614512110711075e-05
1,1,1024,64,True,cute_s2,20.775680541992188,20.736000537872314,55.69536209106445,6.466637746400256,0.0008015632629394531,3.1113602744881064e-05
1,1,1024,64,True,cute_s3,20.96127986907959,20.907199382781982,57.09824085235596,6.409379619904825,0.0008015632629394531,3.1113602744881064e-05
1,1,1024,64,True,official_fa2,34.4268798828125,34.355199337005615,34.76480007171631,3.902439037673965,0.0008015632629394531,3.121456393273547e-05
1,1,2048,64,False,cute_s2,66.05760097503662,65.99679946899414,101.65247917175293,16.25462941661733,6.969273090362549e-05,1.0029191798821557e-05
1,1,2048,64,False,cute_s3,75.59167861938477,75.47840118408203,113.25440406799316,14.204497685604366,6.969273090362549e-05,1.0029191798821557e-05
1,1,2048,64,False,official_fa2,69.37600135803223,69.28383827209473,106.20927810668945,15.477136228401035,7.125735282897949e-05,1.0051142453448847e-05
1,1,2048,64,True,cute_s2,47.3686408996582,47.28831768035889,82.70848274230957,11.339422997966484,0.0006923675537109375,2.263628448417876e-05
1,1,2048,64,True,cute_s3,51.25120162963867,50.74783802032471,87.57247924804688,10.480399267153473,0.0006923675537109375,2.263628448417876e-05
1,1,2048,64,True,official_fa2,66.36544227600098,66.31423950195312,102.13376045227051,8.093565530177106,0.0006923675537109375,2.270628283440601e-05
1,1,4096,64,False,cute_s2,231.1782455444336,194.82624053955078,233.71648788452148,18.578596294323404,5.095452070236206e-05,7.221377927635331e-06
1,1,4096,64,False,cute_s3,261.0892868041992,224.22399520874023,297.9123115539551,16.450185867721792,5.095452070236206e-05,7.221377927635331e-06
1,1,4096,64,False,official_fa2,285.7062339782715,285.1840019226074,320.552978515625,15.032809176738652,4.304945468902588e-05,7.2147190621763e-06
